"Title","Progress","Duration(Hours)","Start Time","End Time","Resource"
"Analyse du sujet et diagramme","0.00","48","2025-01-23 15:00:00","2025-01-31 15:00:00",""
"Oraux","0.00","40","2025-02-14 15:00:00","2025-02-21 15:00:00",""
"Configuration de la base de donnée","0.00","6","2025-01-30 15:00:00","2025-01-30 23:00:00",""
"Programme de RFID (graphique)","0.00","40","2025-02-03 15:00:00","2025-02-10 15:00:00",""
"Classe du RFID","0.00","32","2025-02-12 15:00:00","2025-02-18 15:00:00",""
"Classe  des requêtes SQL","0.00","32","2025-03-10 15:00:00","2025-03-14 15:00:00",""
"Programme graphique pour le poste d'acceuil","0.00","32","2025-03-17 15:00:00","2025-03-21 15:00:00",""
"Mise en œuvre du pare-feu","0.00","32","2025-03-24 15:00:00","2025-03-28 15:00:00",""
"Création de la machine virtuelle et configuration de la base de donnée","0.00","40","2025-02-03 15:00:00","2025-02-10 15:00:00",""
"Classe de pilotage du RFID","0.00","176","2025-02-12 15:00:00","2025-03-14 15:00:00",""
"Classe de requêtes SQL","0.00","72","2025-03-17 15:00:00","2025-03-28 15:00:00",""
"Application de gestion des casiers","0.00","168","2025-03-31 15:00:00","2025-04-29 15:00:00",""
"Mise en œuvre de pare-feu","0.00","103","2025-04-21 15:00:00","2025-05-08 00:00:00",""
"Mise en œuvre des servomoteurs","0.00","40","2025-02-03 15:00:00","2025-02-10 15:00:00",""
"Gestion de DEL","0.00","176","2025-02-12 15:00:00","2025-03-14 15:00:00",""
"Réaliser l'application des casiers","0.00","72","2025-03-17 15:00:00","2025-03-28 15:00:00",""
"Mise en œuvre du pare-feu","0.00","168","2025-03-31 15:00:00","2025-04-29 15:00:00",""
